Forename,Male,Female
Edah,100,0
Zubaidah,0,100
Solikin,100,0
Ponirah,0,100
Rr,2,98
Epi,19,81
Irawan,94,6
Anas,97,3
Lidia,0,100
Aah,0,100
Salman,99,1
Nuryani,0,100
Risnawati,1,99
Mardiah,2,98
Hasnah,1,99
Supandi,98,2
Rohmah,0,100
Sumarsih,0,100
Parni,0,100
Juminah,0,100
Suwanto,100,0
La,50,50
St,50,50
Anah,50,50
Saepudin,50,50
Acih,50,50
Ikah,50,50
Enah,50,50
Maesaroh,50,50
Ajat,50,50
Binti,50,50
Usup,50,50
Jaenudin,50,50
